LABEL,NEWS
Business,"The studios created every problem they now face; it’s their responsibility to get back in that room and clean up their own mess,” Times columnist @marymacTV writes of the AMPTP."
Business,"The problem is that the people who actually make the things that streaming platforms sell are tired of not being paid for it in a manner that allows them to keep doing it,” Times columnist @marymacTV writes in her latest column on the actors’ strike."
Business,"The era of cheap streaming is OVER! Your monthly bills are going up, likely by 10% a year."
Business,The CWA says Microsoft’s acquisition of ABK is a milestone in improving working conditions in the video game industry. “Microsoft will remain neutral when Activision Blizzard employees express interest in joining a union”
Business,The cheap streaming era is over. Here's why your bills are going up
Business,"Talks have broken down over streaming pay. In a speech outside of Netflix HQ today, a SAG-AFTRA negotiating committee member referenced the streamer's movie #FairPlay"
Business,Streaming services were likely to keep raising prices with or without the Hollywood strikes. But analysts expect the media and entertainment companies to pass the additional expenditures on to consumers while also pursuing other cost-saving measures.
Business,"Streaming services including Netflix, Disney, and Apple TV have increased their prices as consumers are grappling with inflation and broader economic uncertainty."
Business,SAG-AFTRA has long said it wants a 2% cut of streaming revenue. The company executives believe that’s not a realistic ask. The two sides are also struggling to reach common ground on the use of AI
Business,"Rite Aid to close 31 California stores in bankruptcy, pulling out of some cities entirely"
Business,"Outside of Netflix HQ today, #sagaftra Negotiating Committee Vice-Chair Tom Kemp described last night’s negotiations with the AMPTP that eventually broke down. The #AMPTP has said the talks were called off because the sides remained too divided."
Business,"New from @Sammy_Roth: A first-of-its-kind agreement, unveiled late Wednesday, serves as a reminder that compromises are needed to end the combustion of fossil fuels — and that we’re capable of making those compromises."
Business,"Microsoft’s $69-billion acquisition of Activision Blizzard could provide the growing labor movement among video game workers a boost because of a labor neutrality agreement the company entered last year, @sarahparvini writes."
Business,"Microsoft acquired Activision Blizzard in a $69 billion gaming deal today, a record-breaking acquisition. MS says it becomes the third-largest gaming company by revenue, behind Tencent and Sony. ABK’s Bobby Kotick will stay on through the end of the year"
Business,"Mean Girls star Jonathan Bennett and his husband, “Amazing Race” alum Jaymes Vaughan said they owned the company. Then their partner's past caught up with him: Fake court records. Forged signatures. Head of LGBTQ travel company confronts fraud claims"
Business,Learn more about this landmark video game deal and what it means for the industry in this piece by ⁦@sarahparvini⁩
Business,"LATE NIGHT NEWS: A dozen energy companies and environmental groups have reached a breakthrough deal to work together on building more solar farms, faster, while protecting wildlife habitat and making sure nearby communities benefit."
